filename,title,index,category,question,question_eng
기타지원_01.html,사회서비스원 긴급돌봄 사업,0,기타지원,사회서비스원이 제공하는 긴급돌봄 서비스의 대상 수혜자는 누구인가요?,Who are the target beneficiaries of the Emergency Care Service provided by the Social Service Center?
기타지원_04.html,가족상담전화,3,기타지원,"가족 상담 전화 서비스를 누가 이용할 수 있으며, 어떤 구체적인 문제에 대해 도움을 받을 수 있나요?",Who can benefit from the Family Counseling Hotline service and what are the specific issues they can seek help for?
기타지원_07.html,한부모가족 자녀 교육비 지원,6,기타지원,한부모가족을 위한 교육비 지원의 대상은 누구인가요?,Who is eligible for the education expense support for single-parent families?
기타지원_10.html,양육비 이행지원 종합서비스,9,기타지원,양육비 이행지원 종합서비스는 누구를 대상으로 하며 어떤 내용을 포함하고 있나요?,Who is eligible for the Comprehensive Support Service for Child Support Enforcement and what does it include?
기타지원_13.html,주거 지원,12,기타지원,주택 특별공급 서비스를 받을 수 있는 대상은 누구이며 어떤 혜택을 제공하나요?,Who is eligible for the housing special supply service and what does it provide?
기타지원_16.html,사회통합프로그램,15,기타지원,사회통합프로그램 (KIIP)은 누구를 대상으로 하며 프로그램의 내용은 무엇인가요?,Who is eligible for the Social Integration Program (KIIP) and what are the contents of the program?
기타지원_19.html,다문화가족지원센터 이용,18,기타지원,"다문화가족지원센터에서는 어떤 서비스를 제공하며, 대상 수혜자는 누구인가요?",What services are provided by the Multicultural Family Support Center and who are the target beneficiaries?
기타지원_22.html,결혼이민여성 직업교육훈련,21,기타지원,이민여성을 위한 직업교육훈련은 누구에게 제공되나요?,Who is eligible for the vocational training for immigrant women?
기타지원_25.html,성폭력 피해자 지원,24,기타지원,성폭력 피해자 지원 서비스는 누구를 대상으로 하며 어떤 종류의 지원이 제공되나요?,Who is eligible for the support service for sexual violence survivors and what kind of assistance is provided?
기타지원_28.html,가정폭력 피해자 지원,27,기타지원,가정폭력 피해자 지원의 대상은 누구인가요?,Who are the target beneficiaries of the support for victims of domestic violence?
기타지원_31.html,폭력 피해여성 주거 지원,30,기타지원,이 서비스의 대상은 누구이며 어떤 지원을 제공합니까?,Who are the target individuals for this service and what does it provide?
기타지원_34.html,산재근로자 생활안정자금 융자,33,기타지원,"산업재해근로자 생활안정자금 융자를 받을 수 있는 자격은 누구이며, 각 융자 종류별 대출 한도는 어떻게 되나요?",Who is eligible for the Work-related Injury Worker's Livelihood Stability Fund Loan and what are the loan limits for each category?
기타지원_37.html,산재근로자 직업훈련,36,기타지원,부상근로자를 위한 직업훈련은 누구에게 제공되며 어떤 내용을 포함하고 있나요?,Who is eligible for the vocational training for injured workers and what does it cover?
기타지원_40.html,산재보험 요양급여,39,기타지원,산재보험 의료지원은 누구에게 지급되며 어떤 내용을 포함하고 있나요?,Who is eligible for the work injury insurance medical aid and what does it cover?
기타지원_43.html,저임금 근로자·예술인·노무제공자 사회보험료 지원(두루누리),42,기타지원,사회보험료 지원의 대상은 누구인가요?,Who are the eligible individuals for the social insurance premium support?
기타지원_46.html,농업인 안전보험,45,기타지원,농민을 위한 농업 안전보험은 누구를 대상으로 하며 어떤 내용을 보장합니까?,Who is eligible for the Agricultural Safety Insurance for Farmers and what does it cover?
기타지원_49.html,취약농가 인력 지원(행복나눔이),48,기타지원,취약농가 지원 서비스의 대상 수혜자는 누구이며 어떤 서비스가 제공되나요?,Who are the target beneficiaries of the Support for Vulnerable Rural Households service and what services are provided?
기타지원_52.html,취약어가 인력 지원(어업활동 지원),51,기타지원,이 서비스의 대상자는 누구이며 어떤 내용을 포함하고 있나요?,Who are the eligible beneficiaries of this service and what does it cover?
기타지원_55.html,농어가 목돈마련 저축 장려금,54,기타지원,농어가목돈마련저축 장려금은 누구에게 지급되나요?,Who is eligible for the Encouragement Savings for Farmers and Fishermen?
기타지원_58.html,농번기 아이돌봄방,57,기타지원,농촌 어린이 보육 센터 서비스의 대상과 내용은 무엇인가요?,What are the target and contents of the Rural Childcare Center service?
기타지원_61.html,북한이탈주민 사회보장 지원,60,기타지원,지원 대상은 누구이며 구체적으로 어떤 혜택을 받을 수 있나요?,Who is eligible for the support and what are the specific benefits provided?
기타지원_64.html,북한이탈주민 정착금 지원,63,기타지원,"지원 대상은 누구이며, 지원 내용은 어떻게 되나요?",Who is eligible for the support and what are the details of the support provided?
기타지원_67.html,북한이탈주민 교육비 지원,66,기타지원,북한이탈주민 교육비 지원 서비스의 대상은 누구인가요?,Who is eligible for the support for education expenses for North Korean defectors?
기타지원_70.html,북한이탈주민 주택알선 지원,69,기타지원,북한이탈주민 주택 지원의 목적은 무엇인가요?,What is the purpose of the housing support for North Korean defectors?
기타지원_73.html,노숙인 등 복지 지원,72,기타지원,"노숙인 및 복지 지원 서비스의 대상 수혜자는 누구이며, 구체적으로 제공되는 서비스는 무엇인가요?",Who are the target beneficiaries of the Support for Homeless and Welfare service and what are the specific services provided?
기타지원_76.html,일본군 ‘위안부’ 피해자 생활안정 및 기념사업,75,기타지원,일본군 '위안부' 피해자에게 제공되는 지원의 대상과 내용은 무엇인가요?,What are the target and contents of the support provided for Comfort Women victims?
기타지원_79.html,한센인 피해자 지원,78,기타지원,한센인 피해자 지원의 대상은 누구이며 어떤 경비가 지원되나요?,Who is eligible for the support for victims of Hanseon and what expenses are covered?
기타지원_82.html,풍수해보험,81,기타지원,자연재해 보험의 대상과 내용은 무엇인가요?,What is the target and contents of the Natural Disaster Insurance?
기타지원_85.html,독거노인 사회관계 활성화 지원,84,기타지원,이 서비스의 대상은 누구이며 제공되는 활동은 무엇인가요?,Who are the target individuals for this service and what are the activities provided?
노령층지원_02.html,노후준비서비스,87,노령층지원,노후준비서비스는 누구를 대상으로 하며 어떤 내용을 포함하고 있나요?,Who is eligible for the Preparation for Retirement Service and what does it include?
노령층지원_05.html,은퇴금융 아카데미,90,노령층지원,은퇴금융 아카데미를 누가 이용할 수 있으며 교육 프로그램에서 다루는 주제는 무엇인가요?,Who can benefit from the Retirement Financial Academy and what are the topics covered in the education program?
노령층지원_08.html,디지털배움터,93,노령층지원,디지털 학습 센터를 통해 무료 교육을 받을 수 있는 대상은 누구인가요?,Who is eligible to receive free education through the Digital Learning Center?
노령층지원_11.html,치매치료 관리비 지원사업,96,노령층지원,치매 치료 및 관리비 지원 프로그램은 누구를 대상으로 하며 어떤 비용을 지원해주나요?,Who is eligible for the Support Program for Dementia Treatment and Management Expenses and what expenses are covered?
노령층지원_14.html,노인 치과 임플란트 지원,99,노령층지원,노인 치과 임플란트 지원 서비스의 대상은 누구이며 어떤 내용을 포함하고 있나요?,Who is eligible for the elderly dental implant support service and what does it cover?
노령층지원_17.html,노인맞춤돌봄서비스,102,노령층지원,노인 맞춤 돌봄 서비스의 대상 수혜자는 누구이며 어떻게 선정되나요?,Who are the target recipients of the Elderly Customized Care Service and how are they selected?
노령층지원_20.html,어르신을 위한 요금감면 제도,105,노령층지원,어르신을 위한 교통요금 감면 서비스는 누구에게 제공되나요?,Who is eligible for the transportation fare reduction for the elderly?
법률금융복지지원_03.html,법문화교육센터,108,법률금융복지지원,법률문화교육센터의 대상 그리고 내용은 무엇인가요?,What are the target groups and contents of the Legal Culture Education Center?
법률금융복지지원_06.html,법률구조 제도,111,법률금융복지지원,"법률구조 지원 서비스를 받을 수 있는 대상은 누구이며, 제공되는 서비스는 무엇인가요?",Who is eligible for the legal aid services and what are the services provided?
법률금융복지지원_09.html,대지급금 제도,114,법률금융복지지원,임금 지급 지원 프로그램의 대상은 누구이며 어떤 내용을 포함하고 있나요?,Who is eligible for the Wage Payment Assistance Program and what does it cover?
법률금융복지지원_12.html,신용회복위원회 성실상환자 소액대출,117,법률금융복지지원,신용회복위원회가 제공하는 저금리 소액대출의 대상은 누구인가요?,Who is eligible for the low-interest small loans provided by the Credit Recovery Committee?
법률금융복지지원_15.html,햇살론 youth,120,법률금융복지지원,청년 햇살론은 누구를 위한 것이며 어떤 지원을 제공하나요?,Who is eligible for the Youth Sun Loan and what does it support?
법률금융복지지원_18.html,햇살론 카드,123,법률금융복지지원,햇살론 카드는 누구에게 제공되며 혜택은 무엇인가요?,Who is eligible for the Sunshine Loan Card and what are the benefits?
법률금융복지지원_21.html,소상공인 지원,126,법률금융복지지원,소상공인 지원을 받기 위한 자격 요건과 대출 세부 내용은 무엇인가요?,What are the eligibility criteria and loan details for the support provided to small business owners?
법률금융복지지원_24.html,신용회복위원회 신용교육,129,법률금융복지지원,신용회복위원회가 제공하는 무료 신용교육의 대상은 누구인가요?,Who are the target audience for the free credit education provided by the Credit Recovery Committee?
보건의료지원_03.html,건강보험 차상위,132,보건의료지원,'건강보험 차상위 서비스 신청 방법'의 대상과 내용은 무엇인가요?,What is the target and contents of the '건강보험 차상위 서비스 신청 방법'?
보건의료지원_06.html,재난적의료비 지원,135,보건의료지원,"재난적의료비 지원의 대상은 누구이며, 서비스 내용은 무엇인가요?",Who is eligible for the support and what are the contents of the service for disaster medical expenses?
보건의료지원_09.html,의료급여 본인부담 면제,138,보건의료지원,의료비 본인부담 면제의 대상자와 해당되는 비용은 무엇인가요?,Who are the eligible recipients and what are the covered expenses for the Medical Benefits Personal Burden Exemption?
보건의료지원_12.html,국가건강검진제도,141,보건의료지원,국가건강검진 서비스의 대상과 내용은 무엇인가요?,What are the target and contents of the national health screening service?
보건의료지원_15.html,성인 암환자 의료비 지원,144,보건의료지원,"암환자 의료비 지원의 대상은 누구이며, 어떤 내용을 지원받을 수 있나요?",Who is eligible for the cancer patient medical expense support and what is the coverage?
보건의료지원_18.html,입원·격리치료명령 결핵환자 부양가족 생활보호비 지원,147,보건의료지원,결핵환자 부양가족 생활보호비 지원의 대상은 누구이며 어떤 내용을 포함하고 있나요?,Who is eligible for the tuberculosis patient family living protection support and what does it cover?
보건의료지원_21.html,노숙인 및 취약계층 알코올 중독문제 관리사업,150,보건의료지원,노숙인과 취약계층을 위한 알코올 중독문제 관리 프로그램의 대상과 내용은 무엇인가요?,What is the target group and the content of the Management Program for Alcohol Addiction Problems in Homeless and Vulnerable Individuals?
보건의료지원_24.html,노인장기요양보험제도,153,보건의료지원,장기요양보험은 어떤 사람들을 대상으로 하며 어떤 내용을 포함하고 있나요?,What are the target and contents of the long-term care insurance for elderly people?
보훈대상자지원_02.html,국가유공자 등 사망일시금,156,보훈대상자지원,국가유공자 등 사망일시금을 받는 방법은 무엇인가요?,What is the process for receiving the 국가유공자 등 사망일시금?
보훈대상자지원_05.html,독립유공자 (손)자녀 생활지원금,159,보훈대상자지원,독립유공자 (손)자녀 생활지원금은 누구에게 지원되며 어느 정도의 지원금이 제공되나요?,Who is eligible for the 독립유공자 (손)자녀 생활지원금 and what is the amount of support provided?
보훈대상자지원_08.html,재해보상금,162,보훈대상자지원,재해보상금을 받을 수 있는 대상은 누구이며 어떤 내용을 포함하고 있나요?,Who is eligible for the 재해보상금 and what does it cover?
보훈대상자지원_11.html,6·25자녀수당,165,보훈대상자지원,6·25 전사자 자녀수당의 대상은 누구이며 혜택은 무엇인가요?,Who are eligible for the 6·25자녀수당 and what are the benefits?
보훈대상자지원_14.html,국가유공자 등 간호수당,168,보훈대상자지원,국가유공자를 위한 간호수당 지원의 대상과 내용은 무엇인가요?,What are the target and contents of the nursing allowance for national merit recipients?
보훈대상자지원_17.html,재가복지지원,171,보훈대상자지원,'노인을 위한 가정 방문 서비스'의 대상과 내용은 무엇인가요?,What is the target and contents of the service '노인을 위한 가정 방문 서비스'?
보훈대상자지원_20.html,양로지원,174,보훈대상자지원,노인 지원 서비스의 대상은 누구이며 어떤 지원을 제공하나요?,Who are the target individuals for the Elderly Support service and what does it provide?
보훈대상자지원_23.html,위탁병원 진료,177,보훈대상자지원,지정된 병원에서 제공되는 서비스의 대상과 내용은 무엇인가요?,What are the target and contents of the service provided at the designated hospitals?
보훈대상자지원_26.html,국가보훈대상자 LPG차량 세금인상분 지원,180,보훈대상자지원,국가보훈대상자를 위한 LPG차량 세금인상분 지원의 대상과 내용은 무엇인가요?,What is the target and contents of the service for supporting the tax increase on LPG vehicles for national merit recipients?
보훈대상자지원_29.html,통신요금감면,183,보훈대상자지원,'통신비 할인' 서비스의 지원 대상과 내용은 무엇인가요?,What are the eligibility criteria and support contents for the '통신비 할인' service?
보훈대상자지원_32.html,국가유공자 등 취업능력개발 지원,186,보훈대상자지원,국가유공자 등 취업능력개발 지원 서비스의 대상과 내용은 무엇인가요?,What are the target and contents of the 국가유공자 등 취업능력개발 지원 서비스?
보훈대상자지원_35.html,제대군인 전직지원금 지원,189,보훈대상자지원,"지원 대상은 누구이며, 지원 내용은 무엇인가요?",Who is eligible for the support and what is included in the support?
보훈대상자지원_38.html,국가보훈대상자 학습보조비 지급,192,보훈대상자지원,국가보훈대상자 학습비 지원 서비스의 대상과 내용은 무엇인가요?,What is the target and contents of the service for providing education support allowance to national merit recipients?
생계지원_01.html,맞춤형 기초생활보장제도,195,생계지원,맞춤형 복지 지원 서비스의 대상과 내용은 무엇인가요?,What are the target and contents of the customized welfare support service?
생계지원_04.html,가족희망드림 지원,198,생계지원,지원 대상은 누구이며 어떤 서비스가 제공되나요?,Who is eligible for the support and what services are provided?
생계지원_07.html,국민임대주택 공급,201,생계지원,"국민임대주택을 신청할 수 있는 대상은 누구이며, 서비스의 내용은 무엇인가요?",Who is eligible for the national rental housing and what are the details of the service?
생계지원_10.html,기존주택 일반 저소득층·신혼부부·청년 등 매입임대주택 지원,204,생계지원,"저소득층, 신혼부부, 청년을 위한 매입임대주택 지원의 대상과 내용은 무엇인가요?","What are the target and contents of the support for affordable rental housing for low-income households, newlyweds, and young people?"
생계지원_13.html,주거취약계층 주거지원,207,생계지원,주거취약계층을 위한 주거지원 서비스의 대상과 내용은 무엇인가요?,What is the target and contents of the housing support service for vulnerable groups?
생계지원_16.html,슬레이트 처리 지원,210,생계지원,지원 대상은 누구이며 내용은 무엇을 포함하나요?,Who is eligible for the support and what does it cover?
생계지원_19.html,신재생에너지 설치 지원,213,생계지원,"신재생에너지 설치 지원의 대상은 누구이며, 어떤 시설이 지원되나요?",Who is eligible for the renewable energy installation support and what are the supported facilities?
생계지원_22.html,사회취약계층 환경성질환 예방사업,216,생계지원,환경성질환 예방을 위한 복지 서비스의 대상과 내용은 무엇인가요?,What are the target and contents of the welfare service for preventing environmental diseases?
