question,total_token_counts
저는 노인이라서 일상적인 일과 잡일을 처리하는 게 어려워지고 있어요,2937
"저는 방금 싱글 부모가 되었고, 안정된 수입이 없습니다",3912
저희 남편과 저는 경제적으로 힘들고 곧 세 번째 아이를 출산할 예정입니다,2170
저는 최근에 일자리를 잃고 임신했습니다,1864
"제 아내는 현재 쌍둥이를 임신했고, 추가적인 돌봄이 필요한 장애가 있습니다",3675
"저희는 저소득 가정이며, 막연소작사태를 겪었습니다",1610
싱글맘인데 아기를 막 낳았어요,3576
친구가 곧 아기를 낳을 건데 출산 후 첫 주에 도와줄 가족이 없어요,5223
저는 결혼하지 않은 엄마로 최근에 아이를 낳았어요,3679
언니가 싱글맘이 될 건데 아이를 낳고 나서 모든 것을 혼자 관리하는 게 걱정돼요,3650
사촌이 입양을 고려 중인데 결정하기 전에 아기를 제대로 돌볼 수 있는 도움이 있는지 알고 싶어요,3494
2번째 아이를 가지게 된 것을 방금 알았어요,4445
"회사 동료가 최근에 아이를 낳았다는데, 그녀는 어떤 종류의 금전적 혜택을 받았다고 언급했어요",5635
"가족을 꾸리려고 노력 중인데, 재정적 부담을 걱정하고 있어요",1578
"최근에 아이를 입양했는데, 입양 부모님들을 위한 추가 혜택이 있는지 궁금해요",3626
"여러 해 일하고 있는데, 곧 가족을 꾸리기로 생각 중이에요",2317
최근에 아빠가 되어서 저의 새로 태어난 아이와 최대한 많은 시간을 보내고 싶어요,4134
직장에서 정말 스트레스를 많이 받고 있어서 생산성에 영향을 주고 있어요,2912
"노인의 엄마는 혼자 살고 있는데, 걱정되고 안전을 보장하기 위해 어떻게 해야 할까요?",2695
"최근에 일자리를 잃었고, 생계를 유지하기가 힘들어요",1813
제 몸에는 움직이기 어려운 신체적 장애가 있어요,2272
"새로 알게 된데로, 저는 프리랜서로 일하고 있다",4197
"아내와 함께 소규모 사업을 운영하고 있지만, 고용 보험은 가입하지 않았다",2243
"저는 자영업자로 일하고 있는데, 최근 유산을 경험했다",3098
"지난 몇 년간 프리랜서로 일하고 있는데, 최근에 임신 소식을 알게 되었다",4866
"고용 보험 대상이 아닌 소규모 회사에서 일하고 있는데, 어린이를 낳았다",1615
"저는 최근에 새로운 부모가 되었고, 제 파트너의 육아휴직 동안에 재정적인 지원이 필요합니다",3287
"직장에서 너무 스트레스 받고 있어서, 정신 건강을 돌보기 위해 휴가가 필요합니다",2627
최근에 일자리를 잃었고 생계유지에 어려움을 겪고 있습니다,2388
"저는 장애를 가진 학생이며, 교육에 접근하기 위해 특별한 지원이 필요합니다",1580
"저는 저소득층이며, 음식과 주거와 같은 기본적인 필요물품을 구매하기 어려움을 겪고 있습니다",3843
"저는 최근에 새로운 부모가 되었는데, 아기를 돌보기 위해 일을 쉴 여유가 있는지 확신이 안 서요",4591
저는 등을 다쳐서 청소와 요리 같은 일상적인 작업에 어려움을 겪고 있어요,2142
"저는 일을 잃었고, 새로운 일을 찾기 위해 고통받고 있어요",2788
"운전을 할 수 없는 장애가 있지만, 의료와 식료품 구매를 위해 이동할 필요가 있어요",2025
저는 학생이고 수업에 필요한 교과서를 살 수가 없어요,2015
최근에 부모가 된 것이 어렵네요,2661
일자리를 잃어서 경제적으로 어려운 상황입니다,2147
장애를 가지고 있어 적절한 일자리를 찾기 힘들어요,1562
"노인 부모님께서 일상 생활에서 도움을 필요로 하시는데, 저는 풀타임으로 돌봐드릴 수 없어요",4345
제가 학생인데 교육비를 내기 어려워요,2716
"방금 아기를 낳았는데, 육아 휴가 동안 재정적인 지원이 필요해요",2476
"소규모 사업을 운영하고 있는데, 육아 휴가 중인 직원 대체를 위해 누군가를 고용해야 합니다",2793
"저는 곧 아이를 낳을 예정인데, 육아 휴가 동안 재정적인 영향에 대해 걱정이 되네요",4567
아내가 방금 출산했고 곧 육아 휴가에 들어갈 예정입니다,2990
"최근에 부모가 되었는데, 일과 가정 책임을 균형있게 유지하기 어렵습니다",3654
아기를 막 낳았는데 아이를 돌볼 시간을 갖기 위해 일을 조금 쉬고 싶어요,3738
"제 아이가 곧 유치원에 입학하는데, 이 중요한 시기에 더 많은 시간을 함께 보내고 싶어요",3890
"최근에 아이를 입양했는데, 그들과 밀착하기 위해 일을 조금 쉬고 싶어요",3244
장애가 있어서 새로 태어난 아이와도 질 좋은 시간을 보내고 싶어요,3582
저는 싱글 부모이고 육아 휴가 중에 재정적인 지원이 필요해요,3702
최근에 사장이 된 작은 회사를 운영하고 있어요,2322
"저는 사업주 협회에 소속되어 있고, 회사 직원들을 위해 더 좋은 어린이 보육 시설을 제공하고 싶어요",2105
제가 운영하고 있는 어린이 보육 시설들을 개보수하고 업그레이드하고 싶어요,1650
"우리 회사는 대형 기업으로 운영하고 있는데, 직원들을 위한 독립적인 어린이 보육 시설을 만들고 싶어요",1920
회사에서 어린이 보육 직원들의 급여와 운영 비용을 지원해주는 재정 지원이 필요해요,2790
저는 6세 아이를 둔 싱글맘인데 돈이 많이 부족해서 힘들어요,3815
대학을 졸업했지만 직장을 찾는 게 어려워서 고민 중이에요,2486
혼자 살고 있는 노인이고 외로움과 고립감을 느끼고 있어요,3038
최근 장애를 진단 받았고 일상생활에서의 도움이 필요해요,2487
저희 가정은 저소득층이라 영양가 있는 식사를 제공하기 힘들어요,2783
나 최근에 아이를 낳았거든요,4904
"저, 곧 유치원등록을 시킬 아이가 있는데 비용이 걱정돼요",3571
제가 어려우신 부모님의 돌봄을 맡고 있어서 재정적인 도움이 필요해요,2007
제가 장애를 가지고 있어서 일상적인 일을 도와주어야 하는데 어떤 옵션이 있는지 알려주세요,2499
저희 가족이 경제적으로 힘들어서 영양가 있는 식사를 갖기 힘들어요,2777
"나는 막 아이를 낳았고, 경제적 부담 없이 아이를 돌보며 집에 머무르고 싶어",4098
"저는 곧 초등학교에 입학하는 유아를 키우고 있는데, 비용에 대해 걱정되네요",2331
"저는 시골에 살고 있고, 특수 요구를 갖고 있는 어린 아이가 있어요",3532
"제 아이가 곧 1살이 되는데, 풀타임 어린이 돌봄 서비스를 찾고 있어요",4653
"저는 한 부모이고, 아이를 키우는 데 재정적인 도움이 필요해요",2611
"저는 최근에 부모가 되었고, 경비를 도와주기 위해 재정 지원이 필요합니다",2272
저는 가족을 위한 저렴한 주택을 찾는데 어려움을 겪고 있어요,5621
저는 현재 실직 중이며 취업 기회를 찾는 도움이 필요합니다,2647
저는 장애를 가지고 있어 독립적으로 생활하기 위한 지원이 필요합니다,2243
저는 노인이고 일상적인 일과 활동에 도움이 필요합니다,3244
"최근에 새로운 아기를 가졌는데, 경제적으로 힘들어요",4062
"한 살짜리 아이가 있고, 전업주부인데 돈에 어려움을 겪고 있어요",3924
육아를 하면서 일하는 부모인데 아이 돌봄비가 부담스러워요,3520
"저는 일을 하고 있는 부모이고, 아이를 온날 돌봄 프로그램에 맡겼어요",2263
"방금 출산을 했는데, 이 시기에 경제적으로 어떻게 해야 할지 잘 모르겠어요",2881
나는 아이를 키우느라 고생하고 있어,4448
최근에 일자리를 잃었고 생활을 유지하는 게 힘들어,2272
최근에 장애 진단을 받았는데 적응하기가 힘들어요,2973
저는 혼자 살고 있는 노인이고 늘 외로움을 느끼고 있어요,3037
우리 가족이 경제적으로 어려운 시기를 겪고 있고 청구서를 감당하기가 힘들어요,3279
일하는 싱글 부모로서 제 아이를 돌볼 사람을 찾기 어렵습니다,3592
"저는 장애를 가진 아이를 키우고 있는데, 특수한 돌봄을 제공해주는 서비스를 찾기가 어려워요",3781
"저는 최근에 신생아 부모가 되었고, 아기를 돌보는 일에 압도됩니다",3856
제 수입이 적어 영양한 식사를 제공하기가 어려워요,1812
저는 일하는 부모로서 직장과 아이 돌봄을 균형잡기가 어렵습니다,3758
3살 아이를 키우는데 육아비용에 도움이 필요해요,4037
저는 싱글 워킹 부모이고 자주 늦은 시간까지 일해야 해요,3435
"제 아이는 현재 유치원에 다니고 있는데, 연장 어린이돌봄에 추가 비용에 어려움을 겪고 있어요",3639
주간에도 일하고 주말에도 아이를 돌봐줄 돌보미를 찾을 수 있는 곳에 대해 어떤 제안이 있을까요?,3529
소득이 적고 제가 일할 때 아이가 연장 어린이돌봄이 필요해요,4586
"저는 싱글 부모이며, 아이를 돌봐줄 사람이 필요해요",3853
제 노인 어머니는 목욕과 요리 같은 일상 활동에 도움이 필요해요,2248
최근에 일을 잃어서 기본 생활비를 감당하기가 힘들어요,1913
저는 장애가 있어서 이동을 돕기 위한 특별 장비가 필요해요,2543
"저는 임신한 여성이고, 태교와 육아에 대한 지도가 필요해요",1529
저는 싱글 부모이고 7살 아이를 위한 야외 방과 후 돌봄을 저렴하게 찾기 힘들어요,3498
최근에 일자리를 잃어서 가족의 기본 생활비를 제공하기 어려워요,1803
저의 노인 부모님이 혼자 살고 있고 일상 생활 도움이 필요해요,1621
저는 저소득자인데 의료비를 지불할 돈이 없어요,1811
저는 장애가 있어서 취업하기 어려워요,2851
"나는 최근에 아이를 입양했는데, 그들의 양육을 돕기 위해 재정 지원이 필요해요",1743
"내 아이가 감정적인 문제로 고민하고 있는데, 추가적인 치료 옵션을 찾고 있어요",3408
나는 장애를 가지고 있고 최근에 아이를 입양했어요,2662
입양한 아이를 위해 의료 지원이 필요해요,1275
일회성 입양 축하금이 있다는 소문을 들었어요,1888
"최근에 새로운 부모가 되었는데, 아기 돌보는 법을 전혀 몰라요",3911
"저는 싱글 부모이고, 일과 아이 돌보는 것을 균형잡기가 어려워요",3760
제 아이가 학교에서 성적이 좋지 않아서 과외 도움이 필요해요,2869
"저는 장애인이고, 일상적인 일들에서 도움이 필요해요",2344
"나는 노인이고, 외로움과 고립감을 느껴서 사회적인 활동에 참여하고 싶어요",2526
"최근에 부모가 되었는데, 아이를 돌보는 것에 압도되고 있어요",4099
"일도 하고 노인 부모님 돌봐야 하는데, 모든 것을 혼자서 관리하는 것이 정말 어려워지고 있어요",3766
"저는 한 부모이고, 일하거나 용무를 처리해야할 때 아이를 돌볼 사람을 찾기 어렵습니다",3765
우리 동네에는 부모와 자녀를 위한 자원이 많이 없어요,2353
저는 새로 이민 와서 이 지역에서는 많은 사람들을 모르고 있어요,2025
최근에 임신했다는 사실을 알게 되었고 건강한 임신을 위해 노력하고 싶어요,2782
제 아이가 체중이 부족하고 제대로 자라지 않는 것 같아요,3569
저는 저소득 싱글 부모이고 가족에게 영양가 있는 식사를 제공하는 것이 어려워요,3909
"항상 피곤하고 약하다는 느낌이 들고, 영양이 부족한 것 같아요",2181
최근에 출산을 했고 모유 수유 중에 최고의 영양을 제공하고 싶어요,1841
"나는 최근에 아기를 낳았는데, 아이의 건강에 대해 걱정이 되어요",3585
우리 아이가 희귀한 질병을 가지고 있어서 특수분유나 치료비에 대한 재정적인 지원이 필요해요,2126
"우리 가족은 아이들이 여러 명인데, 경제적으로 어려움을 겪고 있어요",3912
"새로운 아기가 태어났고, 대사 이상이 있는지 알아보고 싶어요",3972
우리 아이가 선천성 대사 이상을 진단받았어요,3773
최근에 아기를 낳았는데 그들의 청력에 대해 걱정이 돼요,4179
"제 아들이 학교에서 고민이 있고, 선생님이 청각 문제가 있을 수 있다고 언급했어요",2876
"저는 저소득 가구의 일원이고, 제 아이에게 청각 장애가 있어요",2766
최근에 나이 든 아버지가 대화하는데 어려움을 겪고 있는 것 같아요,3248
"소음이 심한 환경에서 일하고 있는데, 최근에 청력이 저하되기 시작한 것 같아요",3170
최근에 저는 조산아를 낳았고 그로 인해 의료비가 상당히 부담됩니다,1524
제 아이가 선천성 이상 진단을 받았고 수술이 필요하지만 의료비를 지불하는 게 어려운 상황입니다,1557
"두 자녀를 혼자 키우는 싱글 부모로서, 선천성 이상을 가진 아이의 의료비를 감당하기가 어렵습니다",3882
제 소득이 낮아 조산아를 낳았고 의료비 부담이 걱정됩니다,1755
제 아이가 출생 직후에 신생아 중환자실에 입원했습니다,1580
"나는 최근에 조기 출생한 아기를 가졌고, 의료비가 너무 많아지고 있어서 힘들어",1198
"나는 저출생 체중 아기를 막 출산했는데, 장기적인 의료비에 대해 걱정돼",2380
"내 아기는 2,500 미만으로 태어났고, 의료비를 감당하기 어렵다",1222
"나는 조기 출생 아기를 키우는 중인데, 의료비를 지불하기 어려워",1105
"내 친구가 최근에 조기 출생 아기를 가졌는데, 의료비에 대해 걱정하고 있어요",1417
소득이 적고 최근에 아기를 낳았어요,2926
저는 싱글 부모이고 아이에게 기저귀와 분유를 제공하기가 어려워요,3922
"여러 아이를 키우고 있는데, 모든 아이에게 기저귀와 분유를 제공하는 게 부담스러워요",4211
저는 장애를 가진 사람이고 저의 아이를 위해 기저귀와 분유를 구하는 데 도움이 필요해요,1964
소득이 적은 가정이고 아기에게 기저귀와 분유를 구입하는 데 도움이 필요해요,4098
3개월된 아기가 있어서 건강하고 잘 발달하고 있는지 확인하고 싶어요,3584
제 아이가 5살이고 전반적인 건강과 치아 건강을 체크하고 싶어요,4724
저는 저소득층이라 아이의 건강검진에 재정 지원이 필요해요,3222
아기가 발달 지연이 있을 것 같아서 철저한 평가가 필요해요,3918
"제 아이가 비만이거나 청력, 시력 문제 등 일반적인 건강 이슈에 대해 검사받고 싶어요",3569
"제 아이가 시력에 문제가 있는 것 같은데, 어떤 조치를 취해야 할지 잘 모르겠어요",3510
"난 저소득 지역에 살고 있는데, 제 아이가 안과 수술이 필요한데 돈이 없어서 못하고 있어요",1478
"제 아이가 눈이 자꾸 불편하다고 하고, 물체를 제대로 보지 못하는데 어떻게 해야 할지 모르겠어요",3541
커뮤니티에서 시력 건강을 홍보하고 아이들의 안락한 눈을 관리하기 위해 어떤 도움을 받을 수 있을까요?,3421
"제 아이에게 시각적 장애 진단이 내렸는데, 적절한 치료와 지원을 받을 수 있도록 도움을 받을 수 있을까요?",1655
"나 최근에 임신했는데, 내 아기가 필요한 예방접종을 제대로 받을 수 있도록 하고 싶어",4694
"우리 아기가 어린이집에 처음 가기 시작했는데, 아이가 병에 걸리지 않을까 걱정돼요",4166
"저는 두 아이를 혼자 키우고 있는데, 건강 관리 비용이 부담스러워요",3425
"우리 아이는 장애가 있어, 필요한 예방접종을 받을 수 있도록 하고 싶어요",3698
"최근에 새로 이사를 왔는데, 아이의 예방접종을 어디로 가야 할지 잘 모르겠어요",3133
"저는 최근에 아기를 낳았는데, 병원 입원비에 대해 걱정입니다",3255
제 아이가 10살인데 입원이 필요하다고 합니다,3566
소득이 적은데 제 아이가 수술을 해야 해요,1683
"제 딸이 최근에 병원에 입원했고, 의료비를 내기 힘들어요",1461
"저는 경제적으로 고생하고 있는 싱글 부모이고, 아들이 입원이 필요해요",4744
제 이를 심하게 마실 때문에 치과 치료비를 감당할 수 없어요,1665
저는 한부모이고 어린이 돌봄에 도움이 필요해요,4161
최근에 일자리를 잃어서 어려움을 겪고 있어요,2402
제가 장애를 가지고 있어서 일상생활에서 도움이 필요해요,2345
저는 노인이고 외로움과 고립감을 느끼고 있어요,3202
저는 직장 다니는 부모입니다,2065
저는 소득이 적고 싱글 부모입니다,2571
여러 아이를 키우다 보니 방과 후에 그들의 활동과 숙제 관리가 어려워요,3146
초등학교에 다니는 제 아이가 창의적이고 신체 활동에도 기회가 많은 방과 후 활동을 원해요,2797
"초등학교에 다니는 제 아이를 방과 후에 안전하고 감독되는 장소에 두고 싶은데, 건강한 간식도 제공하는 서비스를 아시나요?",1932
"저는 직장에 다니는 부모이고, 방과 후에 아이를 돌볼 사람이 필요해요",3318
노인인 엄마가 혼자 사는데 일상 생활에서 도움이 필요해요,2046
저는 장애가 있어서 요리하고 청소와 같은 일상적인 작업에 어려움을 겪고 있어요,4501
최근에 일자리를 잃어 가족을 부양하는 데 어려움을 겪고 있어요,1719
"저는 싱글 부모이고, 육아 기술과 지원이 필요해요",2538
"나는 긴 시간 근무하는 싱글 부모이고, 방과 후에 아이를 돌볼 사람을 찾기 어렵습니다",3484
"내 아이가 학교에 적응하는 데 어려움을 겪고 있고, 학습에 추가적인 지원이 필요합니다",2295
"저는 저소득층 부모이고, 아이에게 영양 가득한 식사를 제공하기 위해 도움이 필요합니다",2597
최근에 새로 이사한 동네에서 아이가 다른 아이들을 만날 수 있는 활동에 참여하길 원합니다,3306
"내 아이의 정서적인 복지에 대해 걱정되며, 전문 상담사와 이야기할 수 있다면 도움이 될 것 같습니다",4684
"부모로서 일도하고 있는데, 내 아이가 방과 후에 추가적인 지원이 필요한 것 같아",1201
"저는 싱글맘인데, 일과 아이 돌봄을 조화롭게 하는 게 점점 어려워지고 있는데요",4335
제 아이는 다양한 학문적 주제에 관심이 있어서 다양한 활동을 해보고 싶다고 합니다,3710
제 아이가 학교에서 어려움을 겪고 있어서 도움이 필요해요,3515
"제 아이가 전과 외교 활동에 참여하길 원하지만, 어떻게 시작해야 할지 잘 모르겠어요",6651
"최근에 신체적인 장애로 인해 일자리를 잃었고, 어떤 종류의 지원을 받을 수 있는지 잘 모르겠어요",1581
저는 혼자서 아이를 키우는 단부인으로 생계 유지에 어려움을 겪고 있어요,4248
최근에 저는 매우 고립되고 외로움을 느끼고 있어요,5122
저는 정신 건강 상태가 좋지 않아서 일상 생활을 대처하는 것이 어렵습니다,3398
"저는 노인이고, 제 자신과 가사 일을 돌보는 것이 어렵습니다",2975
"최근에 일자리를 잃어버렸는데, 제가 어떤 지원을 받을 수 있는지 잘 모르겠어요",1585
저는 장애가 있어서 집에서 일상 생활이 힘들어요,3130
"제가 노인 가족 한 명이 있는데, 일상 업무를 도와줄 사람이 필요해요",2136
제가 저소득층이고 기본 생활 필요품을 구매할 돈이 부족해요,3769
"최근에 새로운 지역으로 이사를 왔는데, 사람들을 만날 수 있는 커뮤니티 센터가 어디 있는지 찾고 있어요",3840
최근에 일자리를 잃었고 생활에 어려움을 겪고 있습니다,2162
저는 대학생이고 저는 움직임에 제약이 있는 장애를 가지고 있습니다,2481
노인 부모님이 만성 질병을 진단받았고 정기적인 의료 관리가 필요합니다,2757
코로나-19 대유행으로 인해 최근에 실직했습니다,3661
저는 세 명의 어린 아이를 둔 싱글 부모입니다,4232
최근에 일자리를 잃어서 생계를 유지하기 힘들어요,3236
저는 독립 생활이 어려운 장애를 가지고 있어요,2905
저는 싱글 부모이고 어린이 돌봄에 돈을 내기 힘들어요,3919
저는 요즘 기분이 매우 우울해서 누군가에게 이야기를 해야 할 것 같아요,3515
저희 노인 부모님은 홀로 사시고 안전을 걱정하고 있어요,2619
최근에 직장을 잃었고 지금 생계유지에 어려움을 겪고 있어요,2098
저는 싱글 부모이고 양육비를 감당하는 것이 어려워서 일하는 능력에 영향을 미치고 있어요,4159
장애를 가진 가족 구성원이 있어 돌봄 지원이 필요해요,1686
최근에 만성 질환으로 진단받았는데 의료비 지원이 필요해요,3316
저는 노인이고 신체적 한계때문에 집을 유지하는 게 어려워지고 있어요,3192
저는 한 부모로서 경제적으로 어려움을 겪고 있고 육아 지원이 필요합니다,2716
저는 최근에 직장을 잃어서 집세와 공과금을 내기 어려워지고 있습니다,2542
저는 신체장애가 있는 사람으로서 목욕과 요리 같은 일상 생활에 도움이 필요합니다,2954
저는 저소득 노인으로서 영양가 있는 식사를 제공받는 것이 어렵습니다,1618
저는 저소득 가정에서 온 학생으로서 교재를 구매할 돈이 없습니다,3064
"최근에 장애가 있는 아이를 입양했는데, 그들의 돌봄 관련 비용을 감당하기가 어려워요",1252
가족 중 심한 장애를 가진 사람이 있어서 지속적인 돌봄이 필요해요,3005
저는 싱글맘이고 장애가 있는 자녀가 있어요,3381
제가 장애가 있어서 적절한 일자리를 찾는 게 어려워요,2005
"제가 혼자 사는 노인인데, 외로움을 느껴요",2849
저는 최근에 싱글 부모가 되어 자녀를 뒤쫓기 위해 고생하고 있어요,3911
저는 노인이고 혼자 살고 있어요,3758
"저는 팬데믹으로 인해 직장을 잃었고, 집세를 내기 어려워 지켜야 할 집에 나가지 못할 것 같아요",1781
제 자녀는 특별한 지원이 필요하고 학교에서 추가 지원이 필요합니다,2186
저는 최근에 다쳐서 움직이기 어렵습니다,4041
"나는 싱글맘인데, 자녀를 혼자 돌보는 것이 힘들어요",3411
"내 자녀는 장애가 있고, 보육원이나 유치원에 보낼 돈이 없어요",1281
"나는 직장 다니는 부모이고, 낮동안 자녀 돌봄에 도움이 필요해요",3492
"내 자녀는 아직 학교에 다닐 수 있는 나이가 아니지만, 집에서 돌봄을 도와줄 수 있어요",2950
"나는 저소득 가정이고, 장애 아동의 돌봄을 위한 재정적 지원이 필요해요",4204
아이가 심각한 장애를 가진 저는 혼자 자녀를 양육하고 그들의 일상적인 요구를 충족시키고 적절한 돌봄을 제공하기 어렵습니다,3665
"수입이 적고 장애가 있는 형제와 함께 살고 있는데, 기본 필요물품을 구매하거나 적절한 돌봄을 제공하기 어려운 상황입니다",3165
장애아동의 부모로서 아이를 돌보는 동안 일에 출근하기 어려워 정말 힘들고 어렵습니다,3438
장애아동의 부모로서 일상적인 돌봄 책임으로 인해 종종 지친 상태이며 휴식이 필요합니다,3782
"장애아동을 돌보는 일을 하고 있는데, 비슷한 경험을 하는 다른 가족들과 소통하고 싶습니다",2834
"제 아이는 특수 요구사항이 있는데, 가족 모두가 휴식과 회복시간을 갖기가 점점 어려워지고 있어요",3686
배우자와 함께 발달 장애가 있는 아이를 돌보는 것에 압도되고 있어요,2091
저는 장애를 가진 아이를 혼자 키우고 있어요,3027
저희 가족은 스트레스를 풀고 결속을 다지기 위해 휴가가 필요해요,2383
우리 아이는 자폐증이 있어서 동료들과 소통할 기회를 거의 가지지 못해요,3564
저는 특수 필요를 가진 아이를 키우는 동안 발생하는 어려움에 맞설 수 없는 싱글 부모입니다,3609
"최근에 일자리를 잃었고, 이 어려운 시기에 가족을 어떻게 지원할지에 대해 강한 스트레스를 느끼고 있습니다",1929
노인 부모가 홀로 살고 일상적인 활동에 어려움을 겪고 있습니다,2093
"만성 질병 진단을 막 받았으며, 다음에 어떤 조치를 취해야할지에 대해 혼란스럽고 불확실한 느낌이 듭니다",2705
"저는 젊은이이며, 길거리에서 생활하고 있습니다",4494
최근에 다리를 다쳐서 일상 생활을 혼자서 할 수가 없어요,2686
고령의 어머니께서 약물 복용 일정을 혼자서 관리하기가 어려워하고 계세요,2216
"저는 싱글 부모이고, 낮에 일하면서 아이를 돌볼 사람이 필요해요",3564
제 친구가 최근에 외로움을 많이 느끼고 동행이 필요하다고 해요,2183
"고령의 할아버지께서 움직임에 어려움을 겪고 계시고, 보조가 필요하다고 합니다",1825
7세 장애 아동을 키우고 있는데 방과 후 케어가 필요합니다,1207
고령 모친이 혼자 살고 일상 생활에 어려움이 있습니다,1765
최근 장애로 인해 직장을 잃어 생계를 유지하기 어렵습니다,2118
"10살 아들이 학교에서 자주 문제를 일으키는데, 상담이나 지도에서 도움을 받을 수 있을 것 같습니다",2390
"저는 저소득 싱글 부모이고, 제 자녀들에게 영양가 있는 식사를 제공하는 데 도움이 필요합니다",3849
"나는 싱글 부모이고 전일제로 일하고 있지만, 방과 후에 아이를 돌볼 사람이 없어요",3821
"나의 노인 부모님이 홀로 생활하고 있고, 때로는 요리나 청소와 같은 일상적인 도움이 필요해요",2549
최근에 일자리를 잃어서 생활에 어려움을 겪고 있어요,2414
저는 장애가 있어 일상 생활을 더 편리하게 해주는 장비가 필요해요,2931
"요즘 기분이 매우 우울하고, 대화를 나눌 누군가가 필요하다고 생각돼요",1745
최근에 일자리를 잃어서 경제적으로 힘들고 있어요,1754
"노인 부모님이 혼자 살고 계시는데, 그들의 안전을 걱정하고 있어요",2636
저는 장애가 있고 고등 교육을 받고 싶어요,1808
저는 한 부모 가정이고 잠시 동안 재정적인 지원이 필요해요,1944
저는 중독에 고민이 있고 치료를 받고 싶어요,1801
다른 사람들과 말하고 의사소통하는 게 어렵습니다,2033
